"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","E/SEO Senior Statistical Officer (London Inner)","36852","42871","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","E/SEO Senior Statistical Officer (National)","32566","38730","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","F/G7 Principal Economist (National)","48677","59848","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","F/G7 Principal Research Officer (National)","48677","59848","Senior Statistician","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","F/G7 Principal Scientific Officer (London Inner)","53424","64893","Senior Statistician","2.64","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","F/G7 Principal Scientific Officer (National)","48682","59853","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","F/G7 Principal Statistician (National)","48682","59853","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","G/G6 Senior Principal Economist (National)","61957","71820","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","G/G6 Senior Principal Research Officer (National)","61902","71765","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","A/AA (London Inner)","20235","20235","Operations Support Officer","1.39","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","A/AA (London Other)","19635","19635","Operations Support Officer","1.71","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","A/AA (National)","17758","17758","Operations Support Officer","2.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","A/AA Legacy (London Inner)","19563","19583","Operations Support Officer","0.45","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","A/AA Legacy (National)","16484","16484","Operations Support Officer","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (London Inner)","22649","23457","Operations Support Officer","175.59","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (London Inner)","22649","23457","Project Delivery Team","7.84","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (London Other)","21394","23344","Operations Support Officer","102.43","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (London Other)","21394","23344","Project Delivery Team","14.77","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (National)","18478","19983","Operations Support Officer","557.31","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (National)","18478","19983","Project Delivery Team","5.14","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO (Spec Loc Pay Zone)","19267","22145","Operations Support Officer","4.59","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (London Inner)","20905","22529","Operations Support Officer","64.38","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (London Inner)","20905","22529","Project Delivery Team","1.40","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (London Other)","19503","22302","Operations Support Officer","6.78","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (London Other)","19503","22302","Project Delivery Team","2.48","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (National)","16845","19583","Operations Support Officer","182.51","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (National)","16845","19583","Project Delivery Team","2.98","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Legacy (Spec Loc Pay Zone)","18946","21775","Operations Support Officer","11.47","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","B/AO Personal Secretary (London Inner)","22649","23457","Operations Support Officer","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (London Inner)","27485","30195","Operations Support Officer","229.88","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (London Inner)","27485","30195","Project Delivery Team","1.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (London Other)","25914","29580","Operations Support Officer","171.87","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (London Other)","25914","29580","Project Delivery Team","3.90","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (National)","24476","26061","Business Partner","1.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (National)","24476","26061","Operations Support Officer","1337.96","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (National)","24476","26061","Project Delivery Team","22.14","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO (Spec Loc Pay Zone)","24476","28185","Operations Support Officer","48.60","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (London Inner)","25056","29438","Operations Support Officer","129.75","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (London Inner)","25056","29438","Project Delivery Team","1.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (London Other)","23623","28202","Operations Support Officer","25.78","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (London Other)","23623","28202","Project Delivery Team","0.92","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (National)","22312","25358","Operations Support Officer","458.72","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (National)","22312","25358","Project Delivery Team","1.76","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","C/EO Legacy (Spec Loc Pay Zone)","23307","27714","Operations Support Officer","30.04","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP42","D/HEO (London Inner)","32430","36478","Operational Manager","68.27","Operational Delivery"
