Member_of_the_58th_Parliament_of_the_United_Kingdom,Member_of_the_58th_Parliament_of_the_United_KingdomLabel,date_of_birth
http://www.wikidata.org/entity/Q750129,Ian Lavery,1963-01-06T00:00:00Z
http://www.wikidata.org/entity/Q750135,Pauline Latham,1948-02-04T00:00:00Z
http://www.wikidata.org/entity/Q750188,Eleanor Laing,1958-02-01T00:00:00Z
http://www.wikidata.org/entity/Q750204,Kwasi Kwarteng,1975-05-26T00:00:00Z
http://www.wikidata.org/entity/Q750219,Greg Knight,1949-04-04T00:00:00Z
http://www.wikidata.org/entity/Q750260,Liz Kendall,1971-06-11T00:00:00Z
http://www.wikidata.org/entity/Q750293,Barbara Keeley,1952-03-26T00:00:00Z
http://www.wikidata.org/entity/Q750398,Marcus Jones,1974-04-05T00:00:00Z
http://www.wikidata.org/entity/Q750411,Kevan Jones,1964-04-25T00:00:00Z
http://www.wikidata.org/entity/Q983174,Kenny MacAskill,1958-04-28T00:00:00Z
http://www.wikidata.org/entity/Q1681420,Jamie Stone,1954-06-16T00:00:00Z
http://www.wikidata.org/entity/Q1700778,John Lamont,1976-04-15T00:00:00Z
http://www.wikidata.org/entity/Q3377178,Stephen Kinnock,1970-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3409441,Richard Bacon,1962-12-03T00:00:00Z
http://www.wikidata.org/entity/Q3411409,Catherine McKinnell,1976-06-08T00:00:00Z
http://www.wikidata.org/entity/Q4761018,Andy McDonald,1958-03-08T00:00:00Z
http://www.wikidata.org/entity/Q4772161,Anthony Browne,1967-01-19T00:00:00Z
http://www.wikidata.org/entity/Q5106839,Chris Hazzard,1984-08-20T00:00:00Z
http://www.wikidata.org/entity/Q5129278,Claudia Webbe,
http://www.wikidata.org/entity/Q5149523,Colum Eastwood,1983-04-30T00:00:00Z
http://www.wikidata.org/entity/Q5162256,Conor McGinn,1984-07-31T00:00:00Z
http://www.wikidata.org/entity/Q5181182,Craig Mackinlay,1966-10-07T00:00:00Z
http://www.wikidata.org/entity/Q5240825,David Warburton,1965-10-28T00:00:00Z
http://www.wikidata.org/entity/Q5242429,Dawn Butler,1969-11-03T00:00:00Z
http://www.wikidata.org/entity/Q5307191,Drew Hendry,1964-05-21T00:00:00Z
http://www.wikidata.org/entity/Q5479812,Francie Molloy,1950-12-16T00:00:00Z
http://www.wikidata.org/entity/Q5522788,Gareth Bacon,1972-04-07T00:00:00Z
http://www.wikidata.org/entity/Q5528262,Gavin Robinson,1984-11-01T00:00:00Z
http://www.wikidata.org/entity/Q5561727,Giles Watling,1953-02-18T00:00:00Z
http://www.wikidata.org/entity/Q6131460,James Cleverly,1969-09-04T00:00:00Z
http://www.wikidata.org/entity/Q6383803,Keir Starmer,1962-09-02T00:00:00Z
http://www.wikidata.org/entity/Q6417459,Kit Malthouse,1966-10-27T00:00:00Z
http://www.wikidata.org/entity/Q6698469,Lucy Powell,1974-10-10T00:00:00Z
http://www.wikidata.org/entity/Q6712373,Afzal Khan,1960-04-05T00:00:00Z
http://www.wikidata.org/entity/Q6838584,Mickey Brady,1950-10-07T00:00:00Z
http://www.wikidata.org/entity/Q6989101,Neil O'Brien,1978-11-06T00:00:00Z
http://www.wikidata.org/entity/Q7150909,Paul Girvan,1963-07-06T00:00:00Z
http://www.wikidata.org/entity/Q7380182,Rupa Huq,1972-04-02T00:00:00Z
http://www.wikidata.org/entity/Q7422176,Sarah Champion,1969-07-10T00:00:00Z
http://www.wikidata.org/entity/Q7609085,Stephen Doughty,1980-04-15T00:00:00Z
http://www.wikidata.org/entity/Q7609180,Stephen Farry,1971-04-22T00:00:00Z
http://www.wikidata.org/entity/Q7613711,Steve Reed,1963-11-12T00:00:00Z
http://www.wikidata.org/entity/Q7831699,Tracy Brabin,1961-05-09T00:00:00Z
